agrupacion_nombre,votos_cantidad,distrito_nombre
Alianza Frente Popular                                                                              ,11223,NEUQUÉN
Alianza Frente de Izquierda y de los Trabajadores                                                   ,10083,NEUQUÉN
Alianza Frente para la Victoria                                                                     ,188923,NEUQUÉN
Alianza Unión para el Desarrollo Social                                                             ,28829,NEUQUÉN
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,6117,NEUQUÉN
Alianza Compromiso Federal                                                                          ,174433,MENDOZA
Alianza Frente Amplio Progresista                                                                   ,106071,MENDOZA
Alianza Frente Popular                                                                              ,14925,MENDOZA
Alianza Frente de Izquierda y de los Trabajadores                                                   ,13520,MENDOZA
Alianza Frente para la Victoria                                                                     ,436423,MENDOZA
Alianza Unión para el Desarrollo Social                                                             ,94776,MENDOZA
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,18447,MENDOZA
Alianza Compromiso Federal                                                                          ,14911,LA PAMPA
Alianza Frente Amplio Progresista                                                                   ,23977,LA PAMPA
Alianza Frente Popular                                                                              ,6662,LA PAMPA
Alianza Frente de Izquierda y de los Trabajadores                                                   ,2109,LA PAMPA
Alianza Frente para la Victoria                                                                     ,102096,LA PAMPA
Alianza Unión para el Desarrollo Social                                                             ,23387,LA PAMPA
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,2143,LA PAMPA
Alianza Compromiso Federal                                                                          ,11232,JUJUY
Alianza Frente Amplio Progresista                                                                   ,25205,JUJUY
Alianza Frente Popular                                                                              ,6028,JUJUY
Alianza Frente de Izquierda y de los Trabajadores                                                   ,6219,JUJUY
Alianza Frente para la Victoria                                                                     ,195652,JUJUY
Alianza Unión para el Desarrollo Social                                                             ,58025,JUJUY
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,3555,JUJUY
Alianza Compromiso Federal                                                                          ,13303,RÍO NEGRO
Alianza Frente Amplio Progresista                                                                   ,39588,RÍO NEGRO
Alianza Frente Popular                                                                              ,9756,RÍO NEGRO
Alianza Frente de Izquierda y de los Trabajadores                                                   ,6631,RÍO NEGRO
Alianza Frente para la Victoria                                                                     ,224362,RÍO NEGRO
Alianza Unión para el Desarrollo Social                                                             ,30735,RÍO NEGRO
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,5420,RÍO NEGRO
Alianza Compromiso Federal                                                                          ,2090,FORMOSA
Alianza Frente Amplio Progresista                                                                   ,6375,FORMOSA
Alianza Frente Popular                                                                              ,4489,FORMOSA
Alianza Frente de Izquierda y de los Trabajadores                                                   ,1186,FORMOSA
Alianza Frente para la Victoria                                                                     ,181966,FORMOSA
Alianza Unión para el Desarrollo Social                                                             ,34659,FORMOSA
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,2039,FORMOSA
Alianza Compromiso Federal                                                                          ,4002,TIERRA DEL FUEGO
Alianza Frente Amplio Progresista                                                                   ,7227,TIERRA DEL FUEGO
Alianza Frente Popular                                                                              ,2498,TIERRA DEL FUEGO
Alianza Frente de Izquierda y de los Trabajadores                                                   ,1372,TIERRA DEL FUEGO
Alianza Frente para la Victoria                                                                     ,48004,TIERRA DEL FUEGO
Alianza Unión para el Desarrollo Social                                                             ,6099,TIERRA DEL FUEGO
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,1082,TIERRA DEL FUEGO
Alianza Compromiso Federal                                                                          ,31269,LA RIOJA
Alianza Frente Amplio Progresista                                                                   ,9169,LA RIOJA
Alianza Frente Popular                                                                              ,3047,LA RIOJA
Alianza Frente de Izquierda y de los Trabajadores                                                   ,2231,LA RIOJA
Alianza Frente para la Victoria                                                                     ,76891,LA RIOJA
Alianza Unión para el Desarrollo Social                                                             ,26067,LA RIOJA
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,1372,LA RIOJA
